Publishing Date,Publishing Time,Target-Company,URL,Manual
09/01/2023,17:00:04,Amazon,https://blinks.bloomberg.com/news/stories/S0BB04GQOFSW,0
09/01/2023,20:15:46,Amazon,https://blinks.bloomberg.com/news/stories/S0BK2AT0G1KW,1
09/01/2023,20:48:08,Amazon,https://blinks.bloomberg.com/news/stories/S0BK6NDWLU68,1
09/02/2023,03:28:16,Amazon,https://blinks.bloomberg.com/news/stories/S0BRRPDWLU68,0
09/04/2023,08:00:26,Amazon,https://blinks.bloomberg.com/news/stories/S0G60QGQD79C,-1
09/04/2023,10:02:48,Amazon,https://blinks.bloomberg.com/news/stories/S0GBOOGFLIIO,-1
09/05/2023,13:00:21,Amazon,https://blinks.bloomberg.com/news/stories/S0IEKLT0AFB4,-1
09/06/2023,01:30:16,Amazon,https://blinks.bloomberg.com/news/stories/S0JBPZT0G1KW,-1
09/06/2023,23:06:18,Amazon,https://blinks.bloomberg.com/news/stories/S0L1AIGF4NPC,-1
09/08/2023,03:57:12,Amazon,https://blinks.bloomberg.com/news/stories/S0N9FCT1UM0W,-1
09/08/2023,17:00:05,Amazon,https://blinks.bloomberg.com/news/stories/S0O9O5GQITJ5,0
09/11/2023,21:45:52,Amazon,https://blinks.bloomberg.com/news/stories/S0U6WGT1UM0W,-1
09/12/2023,12:00:08,Amazon,https://blinks.bloomberg.com/news/stories/S0VAG8T1UM0W,1
09/12/2023,13:25:43,Amazon,https://blinks.bloomberg.com/news/stories/S0UYYNT1UM0W,-1
09/12/2023,15:01:00,Amazon,https://blinks.bloomberg.com/news/stories/S0U85HDWLU69,1
09/12/2023,17:58:22,Amazon,https://blinks.bloomberg.com/news/stories/S0UCHFDWLU68,1
09/13/2023,03:39:26,Amazon,https://blinks.bloomberg.com/news/stories/S0WHXQCAB9Q8,1
09/13/2023,03:55:56,Amazon,https://blinks.bloomberg.com/news/stories/S0WI91T1UM0W,1
09/13/2023,08:56:09,Amazon,https://blinks.bloomberg.com/news/stories/S0WVCCT0G1KW,1
09/13/2023,14:43:04,Amazon,https://blinks.bloomberg.com/news/stories/S0X78GDWLU68,1
09/13/2023,15:00:00,Amazon,https://blinks.bloomberg.com/news/stories/S0VR9QDWX2PS,1
09/13/2023,15:00:00,Amazon,https://blinks.bloomberg.com/news/stories/S0W7U4BKHDS1,1
09/13/2023,15:00:00,Amazon,https://blinks.bloomberg.com/news/stories/S0W7U4BKHDS0,1
09/13/2023,15:02:16,Amazon,https://blinks.bloomberg.com/news/stories/S0XDJSBXZE9S,1
09/13/2023,16:43:35,Amazon,https://blinks.bloomberg.com/news/stories/S0XI8NGQITJ4,1
09/13/2023,22:39:08,Amazon,https://blinks.bloomberg.com/news/stories/S0XY9UDWRGG0,1
09/13/2023,22:40:05,Amazon,https://blinks.bloomberg.com/news/stories/S0XYQTBXZE9S,1
09/14/2023,15:00:00,Amazon,https://blinks.bloomberg.com/news/stories/S0XYZFDWLU68,1
09/14/2023,18:24:03,Amazon,https://blinks.bloomberg.com/news/stories/S0ZHK3T0AFB5,1
09/15/2023,01:29:43,Amazon,https://blinks.bloomberg.com/news/stories/S1019JDWRGG0,0
09/15/2023,12:35:00,Amazon,https://blinks.bloomberg.com/news/stories/S10OZ7T0AFB4,1
09/15/2023,17:00:04,Amazon,https://blinks.bloomberg.com/news/stories/S118C4GETF5S,0
09/16/2023,03:06:41,Amazon,https://blinks.bloomberg.com/news/stories/S11WUFDWLU68,-1
09/18/2023,20:12:40,Amazon,https://blinks.bloomberg.com/news/stories/S16YOMT0G1KW,1
09/18/2023,21:07:30,Amazon,https://blinks.bloomberg.com/news/stories/S173MMT1UM0W,1
09/18/2023,22:27:21,Amazon,https://blinks.bloomberg.com/news/stories/S177HLDWX2PS,-1
09/18/2023,23:05:19,Amazon,https://blinks.bloomberg.com/news/stories/S1798VGENSW0,-1
09/19/2023,15:00:00,Amazon,https://blinks.bloomberg.com/news/stories/S17J88T0AFB4,1
09/19/2023,15:00:00,Amazon,https://blinks.bloomberg.com/news/stories/S17766T0AFB4,1
